"Date: 23/06/2019 23h37"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","0.90 CHF/100g",8.00,7.20
"Epicerie Bio Bois-Genoud","Pâte (Penne)","0.65 CHF/100g",8.00,5.20
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.00 CHF/100g",4.00,4.00
