"Date: 30/11/2020 00h15"
Fournisseur,Produit,"Par unité",Quantité,Total
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",6.00,2.90
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",5.00,3.20
"Ferme Bois genoud",Clémentines,"0.45 CHF/100 grammes",10.00,4.50
"Ferme Bois genoud",Oignons,"0.50 CHF/100 grammes",5.00,2.40
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",10.00,12.00
