"Date: 30/06/2019 22h13"
Fournisseur,Produit,"Par unité",Quantité,Total
"Ferme Bois genoud","Carottes grosses (lavées)","0.30 CHF/100 grammes",18.00,5.40
"Ferme Bois genoud",Citron,"0.50 CHF/100g",3.00,1.50
"Ferme Bois genoud",Courgettes,"0.60 CHF/100 grammes",22.00,13.20
"Ferme Bois genoud","Farine mi-blanche de blé","20.00 CHF/5kg",1.00,20.00
"Ferme Bois genoud","Petits pois ","1.95 CHF/200 grammes",4.00,7.80
"Ferme Bois genoud",Salade,"1.50 CHF/Pièce",1.00,1.50
