"Date: 23/06/2019 23h37"
Fournisseur,Produit,"Par unité",Quantité,Total
"Ferme Bois genoud","Carottes grosses (lavées)","0.30 CHF/100 grammes",21.00,6.30
"Ferme Bois genoud","Chou pointu","0.55 CHF/100g",13.00,7.30
"Ferme Bois genoud",Courgettes,"0.60 CHF/100 grammes",32.00,19.20
"Ferme Bois genoud","Côtes de Bettes","0.60 CHF/100 grammes",6.00,3.60
"Ferme Bois genoud",Salade,"1.50 CHF/Pièce",1.00,1.50
